population_id,date,year,decimal,abundance,biomass,units,temperature,source,genus_species,max_ctmax,thermal_risk,log_abundance,change_in_log_N,time,thermal_risk_measure,change_in_log_thermal_risk,change_in_thermal_risk
Coregonus artedi_48.46667_-89.15_4581,1959.001,1959,001,2.654,NA,Modified Catch,0.100061035156273,LPI,Coregonus artedi,19.8,0.13945770739474975,0.9760679359100157,0.4777198336551377,1,0.4464254231618493,0.6320923167966881,0.20915985746496144
Coregonus clupeaformis_45_-82_829,1959.001,1959,001,2122,NA,Number of eggs,0.100061035156273,LPI,Coregonus clupeaformis,20.6,0.12873568932569787,7.660114319173928,-0.08661858857969396,1,0.7784417721636052,0.9140770191126837,0.46637500118627656
Esox lucius_54.12_-3_1111,1959.001,1959,001,1200,NA,Kilograms of females,4.63125000000002,LPI,Esox lucius,20.6,0.2025284314639324,7.090076835776092,-0.2231435513142097,1,0.009634669346480391,0.9340002159108822,0.0058484508326157
Esox lucius_54.18_-3_1110,1959.001,1959,001,800,NA,Kilograms of females,4.63125000000002,LPI,Esox lucius,20.6,0.2025284314639324,6.684611727667927,0,1,0.009634669346480391,0.9340002159108822,0.0058484508326157
Perca flavescens_45.625_-81.87611_877,1959.001,1959,001,45.128,NA,Catch per set,0.100061035156273,LPI,Perca flavescens,21.3,0.12003236112861286,3.809502896437675,-0.2155630391876575,1,0.5485586453832207,0.9140770191126819,0.3286489086785195
Salvelinus namaycush_47.15417_-90.5_886,1959.001,1959,001,13,NA,Abundance index (percentage of the 1929-1943 mean),0.100061,LPI,Salvelinus namaycush,22.9,0.10228483065110143,2.5649493574615367,-1.1239300966523995,1,0.09475289589874526,0.6320918636674406,0.04439373518007787
Salvelinus namaycush_47.26472_-87.17472_885,1959.001,1959,001,25,NA,Abundance index (percentage of the 1929-1943 mean),0.100061,LPI,Salvelinus namaycush,22.9,0.10228483065110143,3.2188758248682006,-0.11332868530700324,1,0.09475289589874526,0.6320918636674406,0.04439373518007787
Coregonus clupeaformis_45_-82_1792,1959.001,1959,001,2122,NA,Eggs,0.100061,GPDD,Coregonus clupeaformis,20.6,0.1287356888731112,7.660114319173928,-0.08661858857969396,1,0.7784415670990373,0.9140764260122258,0.46637469324236774
Esox lucius_54.3_-3_1822,1959.001,1959,001,800,NA,Kg (females),4.63125,GPDD,Esox lucius,20.6,0.20252843146393198,6.684611727667927,0,1,0.009634671000250571,0.9340003671116897,0.005848452408969007
Esox lucius_54.3333333333333_-2.91666666666667_1823,1959.001,1959,001,1200,NA,Kg (females),4.776971,GPDD,Esox lucius,20.6,0.20550130391105836,7.090076835776092,-0.2231435513142097,1,0.0043300126610876346,0.4089581395243318,0.0014534032104721148
Sardinops sagax_-35_20_1936,1959.001,1959,001,444,NA,Tonnes,19.63601,GPDD,Sardinops sagax,24.3,0.6272569585842566,6.095824562432225,0.4225012952607319,1,0.04512316183526087,-0.3032032693349591,-0.01598215923054236
Alosa pseudoharengus_44.03_-69.31_822,1960.001,1960,001,151.4,NA,SSB (Thousands of lbs),5.34163818359377,LPI,Alosa pseudoharengus,23.5,0.16270180323305078,5.019925341003349,0.024065332489247027,1,1.8902132524565774e-4,-0.031400171867968396,-6.029469896305818e-6
Coregonus artedi_48_-88_4580,1960.001,1960,001,1.75,NA,Modified Catch,0.100000000000023,LPI,Coregonus artedi,19.8,0.13945685621505122,0.5596157879354227,0.6874491594453076,1,0.2438556846017513,-0.6046957672092863,-0.202569738560098
Coregonus artedi_48.46667_-89.15_4581,1960.001,1960,001,1.961,NA,Modified Catch,0.100000000000023,LPI,Coregonus artedi,19.8,0.13945685621505122,0.6734545472142093,-0.30261338869580645,1,0.2438556846017513,-0.6046957672092863,-0.202569738560098
Coregonus clupeaformis_45_-82_829,1960.001,1960,001,4147,NA,Number of eggs,0.125360107421898,LPI,Coregonus clupeaformis,20.6,0.1290617910060057,8.330140460246382,0.6700261410724533,1,0.2661926273545526,-1.0730739838788694,-0.5122491448090526
Esox lucius_54.12_-3_1111,1960.001,1960,001,1500,NA,Kilograms of females,7.77108154296877,LPI,Esox lucius,20.6,0.2772344209419277,7.313220387090301,0.2231435513142097,1,0.004490227018684363,-0.7634647218898465,-0.005144442327796028
Esox lucius_54.18_-3_1110,1960.001,1960,001,700,NA,Kilograms of females,7.77108154296877,LPI,Esox lucius,20.6,0.2772344209419277,6.551080335043404,-0.13353139262452274,1,0.004490227018684363,-0.7634647218898465,-0.005144442327796028
Perca flavescens_45.625_-81.87611_877,1960.001,1960,001,50.85,NA,Catch per set,0.125360107421898,LPI,Perca flavescens,21.3,0.12033641631999284,3.928880122494569,0.11937722605689416,1,0.18758277406768498,-1.0730739838788694,-0.36097587131553577
Salvelinus namaycush_47.15417_-90.5_886,1960.001,1960,001,28,NA,Abundance index (percentage of the 1929-1943 mean),0.1,LPI,Salvelinus namaycush,22.9,0.10228420671553748,3.332204510175204,0.7672551527136671,1,0.051757868821255264,-0.6046959319672554,-0.04299502707749
Salvelinus namaycush_47.26472_-87.17472_885,1960.001,1960,001,15,NA,Abundance index (percentage of the 1929-1943 mean),0.1,LPI,Salvelinus namaycush,22.9,0.10228420671553748,2.70805020110221,-0.5108256237659905,1,0.051757868821255264,-0.6046959319672554,-0.04299502707749
Sander vitreus_48.7_-93.16667_889,1960.001,1960,001,0.3571,NA,Index of SSB,0.1,LPI,Sander vitreus,27,0.06788093937176144,-1.0297394243817344,NA,NA,0.010665971168833232,NA,NA
Coregonus clupeaformis_45_-82_1792,1960.001,1960,001,4147,NA,Eggs,0.1253601,GPDD,Coregonus clupeaformis,20.6,0.12906179091021736,8.330140460246382,0.6700261410724533,1,0.2661926926991529,-1.0730734749706867,-0.5122488743998844
Esox lucius_54.3_-3_1822,1960.001,1960,001,700,NA,Kg (females),7.771082,GPDD,Esox lucius,20.6,0.27723443361240685,6.551080335043404,-0.13353139262452274,1,0.0044902276014402165,-0.76346476375452,-0.005144443398810355
Esox lucius_54.3333333333333_-2.91666666666667_1823,1960.001,1960,001,1500,NA,Kg (females),7.650079,GPDD,Esox lucius,20.6,0.27390002813312075,7.313220387090301,0.2231435513142097,1,0.00313601997878068,-0.32261599279631437,-0.0011939926823069545
Sardinops sagax_-35_20_1936,1960.001,1960,001,594,NA,Tonnes,20.872,GPDD,Sardinops sagax,24.3,0.7097801533962311,6.386879319362645,0.2910547569304205,1,0.05648337358690389,0.22455064117681145,0.01136021175164302
Alosa pseudoharengus_44.03_-69.31_822,1961.001,1961,001,189.8,NA,SSB (Thousands of lbs),5.3270202636719,LPI,Alosa pseudoharengus,23.5,0.16246414078881977,5.245970886175828,0.22604554517247877,1,1.8401045020615008e-4,-0.026867290087324136,-5.010875039507658e-6
Coregonus artedi_48_-88_4580,1961.001,1961,001,2.264,NA,Modified Catch,0.100061035156273,LPI,Coregonus artedi,19.8,0.13945770739474975,0.8171331603409364,0.25751737240551376,1,0.28642457461956083,0.16089864287775013,0.04256889001780953
Coregonus artedi_48.46667_-89.15_4581,1961.001,1961,001,1.288,NA,Modified Catch,0.100061035156273,LPI,Coregonus artedi,19.8,0.13945770739474975,0.2530906276821619,-0.4203639195320474,1,0.28642457461956083,0.16089864287775013,0.04256889001780953
Coregonus clupeaformis_45_-82_829,1961.001,1961,001,3409,NA,Number of eggs,0.104058837890648,LPI,Coregonus clupeaformis,20.6,0.12878716560369233,8.134174272137903,-0.19596618810847843,1,0.3712339008323841,0.33261211472613494,0.10504127347783149
Esox lucius_54.12_-3_1111,1961.001,1961,001,1800,NA,Kilograms of females,6.88750610351565,LPI,Esox lucius,20.6,0.2537896791926108,7.495541943884256,0.1823215567939549,1,0.003188964574980471,-0.34220698196806776,-0.0013012624437038923
Esox lucius_54.18_-3_1110,1961.001,1961,001,700,NA,Kilograms of females,6.88750610351565,LPI,Esox lucius,20.6,0.2537896791926108,6.551080335043404,0,1,0.003188964574980471,-0.34220698196806776,-0.0013012624437038923
Perca flavescens_45.625_-81.87611_877,1961.001,1961,001,97.349,NA,Catch per set,0.104058837890648,LPI,Perca flavescens,21.3,0.12008035729208666,4.578302459551787,0.6494223370572176,1,0.2616041084163993,0.3326121147261363,0.07402133434871433
Perca fluviatilis_54.33333_-2.91667_6103,1961.001,1961,001,600,NA,Individuals per trap,7.18718872070315,LPI,Perca fluviatilis,32,0.0836360085010374,6.396929655216146,NA,NA,8.775256706400987e-6,NA,NA
Perca fluviatilis_54.33333_-2.91667_6104,1961.001,1961,001,410,NA,Individuals per trap,7.18718872070315,LPI,Perca fluviatilis,32,0.0836360085010374,6.016157159698354,NA,NA,8.775256706400987e-6,NA,NA
Perca fluviatilis_54.33333_-2.91667_6105,1961.001,1961,001,500,NA,Individuals per trap,7.18718872070315,LPI,Perca fluviatilis,32,0.0836360085010374,6.214608098422191,NA,NA,8.775256706400987e-6,NA,NA
Salvelinus namaycush_47.15417_-90.5_886,1961.001,1961,001,18,NA,Abundance index (percentage of the 1929-1943 mean),0.100061,LPI,Salvelinus namaycush,22.9,0.10228483065110143,2.8903717578961645,-0.4418327522790393,1,0.06079303833086546,0.16089880617591268,0.009035169509610197
Salvelinus namaycush_47.26472_-87.17472_885,1961.001,1961,001,10,NA,Abundance index (percentage of the 1929-1943 mean),0.100061,LPI,Salvelinus namaycush,22.9,0.10228483065110143,2.302585092994046,-0.40546510810816416,1,0.06079303833086546,0.16089880617591268,0.009035169509610197
Sander vitreus_48.44972_-92.45028_888,1961.001,1961,001,0.4535,NA,Index of SSB,0.100061,LPI,Sander vitreus,27,0.06788135344675451,-0.7907600094269457,NA,NA,0.009361267507016482,NA,NA
Sander vitreus_48.7_-93.16667_889,1961.001,1961,001,0.2232,NA,Index of SSB,0.100061,LPI,Sander vitreus,27,0.06788135344675451,-1.4996870484749811,-0.46994762409324675,1,0.01443313763463503,0.3024683783632156,0.003767166465801799
Coregonus clupeaformis_45_-82_1792,1961.001,1961,001,3409,NA,Eggs,0.1040588,GPDD,Coregonus clupeaformis,20.6,0.12878716511570945,8.134174272137903,-0.19596618810847843,1,0.37123400820054797,0.33261215846721526,0.10504131550139506
Esox lucius_54.3_-3_1822,1961.001,1961,001,700,NA,Kg (females),6.887506,GPDD,Esox lucius,20.6,0.2537896765654904,6.551080335043404,0,1,0.0031889648463824414,-0.3422070266446102,-0.001301262755057775
Esox lucius_54.3333333333333_-2.91666666666667_1823,1961.001,1961,001,1800,NA,Kg (females),7.187189,GPDD,Esox lucius,20.6,0.26151043287538805,7.495541943884256,0.1823215567939549,1,0.00262263793935801,-0.1787738149268625,-5.133820394226702e-4
Perca fluviatilis_54.3333333333333_-2.91666666666667_6059,1961.001,1961,001,600,NA,All Individuals,7.187189,GPDD,Perca fluviatilis,32,0.08363601083696479,6.396929655216146,NA,NA,8.775255952545548e-6,NA,NA
Perca fluviatilis_54.3333333333333_-2.91666666666667_6060,1961.001,1961,001,410,NA,All Individuals,7.187189,GPDD,Perca fluviatilis,32,0.08363601083696479,6.016157159698354,NA,NA,8.775255952545548e-6,NA,NA
Perca fluviatilis_54.3333333333333_-2.91666666666667_6061,1961.001,1961,001,500,NA,All Individuals,7.187189,GPDD,Perca fluviatilis,32,0.08363601083696479,6.214608098422191,NA,NA,8.775255952545548e-6,NA,NA
Sardinops sagax_-35_20_1936,1961.001,1961,001,626,NA,Tonnes,20.92596,GPDD,Sardinops sagax,24.3,0.713620478984227,6.439350371100098,0.052471051737453145,1,0.04943701534170541,-0.13324688002243734,-0.007046358245198482
Alosa pseudoharengus_44.03_-69.31_822,1962.001,1962,001,118.7,NA,SSB (Thousands of lbs),5.2856384277344,LPI,Alosa pseudoharengus,23.5,0.1617932234937366,4.776599301615622,-0.46937158456020533,1,1.837052225922872e-4,-0.0016601287709132606,-3.052276138628752e-7
Coregonus artedi_48_-88_4580,1962.001,1962,001,2.386,NA,Modified Catch,0.100000000000023,LPI,Coregonus artedi,19.8,0.13945685621505122,0.8696183236757244,0.05248516333478803,1,0.12333678689971772,-0.8425565181736105,-0.1630877877198431
Coregonus artedi_48.46667_-89.15_4581,1962.001,1962,001,4.109,NA,Modified Catch,0.100000000000023,LPI,Coregonus artedi,19.8,0.13945685621505122,1.4131796899012727,1.160089062219111,1,0.12333678689971772,-0.8425565181736105,-0.1630877877198431
Coregonus clupeaformis_45_-82_829,1962.001,1962,001,2205,NA,Number of eggs,0.104516601562523,LPI,Coregonus clupeaformis,20.6,0.1287930611472113,7.6984827878809465,-0.4356914842569566,1,0.21326301944952059,-0.5543060873889489,-0.15797088138286353
Esox lucius_54.12_-3_1111,1962.001,1962,001,2300,NA,Kilograms of females,7.59615478515627,LPI,Esox lucius,20.6,0.2724270188496697,7.7406644019172415,0.24512245803298516,1,0.0030633314647655597,-0.04019324174143346,-1.256331102149114e-4
Esox lucius_54.18_-3_1110,1962.001,1962,001,800,NA,Kilograms of females,7.59615478515627,LPI,Esox lucius,20.6,0.2724270188496697,6.684611727667927,0.13353139262452274,1,0.0030633314647655597,-0.04019324174143346,-1.256331102149114e-4
Perca flavescens_45.625_-81.87611_877,1962.001,1962,001,63.148,NA,Catch per set,0.104516601562523,LPI,Perca flavescens,21.3,0.12008585426042873,4.14548117766948,-0.4328212818823065,1,0.15028390978352757,-0.5543060873889494,-0.11132019863287174
Perca fluviatilis_54.33333_-2.91667_6103,1962.001,1962,001,620,NA,Individuals per trap,7.6944519042969,LPI,Perca fluviatilis,32,0.08798800245208041,6.429719478039138,0.032789822822991255,1,8.20049403420591e-6,-0.06774162268548523,-5.747626721950769e-7
Perca fluviatilis_54.33333_-2.91667_6104,1962.001,1962,001,740,NA,Individuals per trap,7.6944519042969,LPI,Perca fluviatilis,32,0.08798800245208041,6.606650186198215,0.5904930264998614,1,8.20049403420591e-6,-0.06774162268548523,-5.747626721950769e-7
Perca fluviatilis_54.33333_-2.91667_6105,1962.001,1962,001,590,NA,Individuals per trap,7.6944519042969,LPI,Perca fluviatilis,32,0.08798800245208041,6.380122536899765,0.1655144384775733,1,8.20049403420591e-6,-0.06774162268548523,-5.747626721950769e-7
Salvelinus namaycush_47.15417_-90.5_886,1962.001,1962,001,38,NA,Abundance index (percentage of the 1929-1943 mean),0.1,LPI,Salvelinus namaycush,22.9,0.10228420671553748,3.6375861597263857,0.7472144018302211,1,0.026177984899275943,-0.842556494757813,-0.03461505343158952
Salvelinus namaycush_47.26472_-87.17472_885,1962.001,1962,001,12,NA,Abundance index (percentage of the 1929-1943 mean),0.1,LPI,Salvelinus namaycush,22.9,0.10228420671553748,2.4849066497880004,0.18232155679395445,1,0.026177984899275943,-0.842556494757813,-0.03461505343158952
Sander vitreus_48.44972_-92.45028_888,1962.001,1962,001,0.5575,NA,Index of SSB,0.1,LPI,Sander vitreus,27,0.06788093937176144,-0.5842927756478632,0.2064672337790825,1,0.003403454242518468,-1.0117898291653287,-0.005957813264498014
Sander vitreus_48.7_-93.16667_889,1962.001,1962,001,0.1269,NA,Index of SSB,0.1,LPI,Sander vitreus,27,0.06788093937176144,-2.064355904261795,-0.564668855786814,1,0.006666148309251972,-0.7724845591964371,-0.007766989325383058
Coregonus clupeaformis_45_-82_1792,1962.001,1962,001,2205,NA,Eggs,0.1045166,GPDD,Coregonus clupeaformis,20.6,0.12879306112708708,7.6984827878809465,-0.4356914842569566,1,0.21326303254570295,-0.5543063152000316,-0.15797097565484503
Esox lucius_54.3_-3_1822,1962.001,1962,001,800,NA,Kg (females),7.596155,GPDD,Esox lucius,20.6,0.2724270247025934,6.684611727667927,0.13353139262452274,1,0.003063330998904087,-0.04019347892479708,-1.2563384747835441e-4
Esox lucius_54.3333333333333_-2.91666666666667_1823,1962.001,1962,001,2300,NA,Kg (females),7.694452,GPDD,Esox lucius,20.6,0.27511810521605246,7.7406644019172415,0.24512245803298516,1,0.0024508602324356064,-0.06774158011573128,-1.7177770692240356e-4
Ischnura elegans_52.4333333333333_-0.183333333333333_3,1962.001,1962,001,12,NA,All Individuals,6.150995,GPDD,Ischnura elegans,44.60683761,0.02137390997032459,2.4849066497880004,NA,NA,7.004596321509686e-8,NA,NA
Perca fluviatilis_54.3333333333333_-2.91666666666667_6059,1962.001,1962,001,620,NA,All Individuals,7.694452,GPDD,Perca fluviatilis,32,0.08798800329415286,6.429719478039138,0.032789822822991255,1,8.20049367881956e-6,-0.06774158011573128,-5.747622737259892e-7
Perca fluviatilis_54.3333333333333_-2.91666666666667_6060,1962.001,1962,001,740,NA,All Individuals,7.694452,GPDD,Perca fluviatilis,32,0.08798800329415286,6.606650186198215,0.5904930264998614,1,8.20049367881956e-6,-0.06774158011573128,-5.747622737259892e-7
Perca fluviatilis_54.3333333333333_-2.91666666666667_6061,1962.001,1962,001,590,NA,All Individuals,7.694452,GPDD,Perca fluviatilis,32,0.08798800329415286,6.380122536899765,0.1655144384775733,1,8.20049367881956e-6,-0.06774158011573128,-5.747622737259892e-7
Sardinops sagax_-35_20_1936,1962.001,1962,001,523,NA,Tonnes,20.52889,GPDD,Sardinops sagax,24.3,0.6858399414372472,6.259581464064923,-0.17976890703517512,1,0.05103299742539253,0.03177298982063803,0.0015959820836871225
Alosa pseudoharengus_44.03_-69.31_822,1963.001,1963,001,65,NA,SSB (Thousands of lbs),5.30718383789065,LPI,Alosa pseudoharengus,23.5,0.16214218942551759,4.174387269895637,-0.6022120317199855,1,1.7365983211601352e-4,-0.056234023931459376,-1.0045390476273687e-5
Coregonus artedi_48_-88_4580,1963.001,1963,001,5.888,NA,Modified Catch,0.103234863281273,LPI,Coregonus artedi,19.8,0.13950197589880706,1.7729163814265751,0.9032980577508507,1,0.46648090318044116,1.3302983646054323,0.34314411628072344
Coregonus artedi_48.46667_-89.15_4581,1963.001,1963,001,2.51,NA,Modified Catch,0.103234863281273,LPI,Coregonus artedi,19.8,0.13950197589880706,0.9202827531436925,-0.4928969367575803,1,0.46648090318044116,1.3302983646054323,0.34314411628072344
Coregonus clupeaformis_45_-82_829,1963.001,1963,001,5085,NA,Number of eggs,0.104669189453148,LPI,Coregonus clupeaformis,20.6,0.12879502638835763,8.53405030848266,0.8355675206017139,1,0.327706789124814,0.4295930359639326,0.1144437696752934
Esox lucius_54.12_-3_1111,1963.001,1963,001,1700,NA,Kilograms of females,7.56926879882815,LPI,Esox lucius,20.6,0.2716955556853002,7.438383530044307,-0.3022808718729344,1,0.0032232406708677355,0.050884235259165855,1.5990920610217587e-4
Esox lucius_54.18_-3_1110,1963.001,1963,001,800,NA,Kilograms of females,7.56926879882815,LPI,Esox lucius,20.6,0.2716955556853002,6.684611727667927,0,1,0.0032232406708677355,0.050884235259165855,1.5990920610217587e-4
Perca flavescens_45.625_-81.87611_877,1963.001,1963,001,41.562,NA,Catch per set,0.104669189453148,LPI,Perca flavescens,21.3,0.12008768663912818,3.727186288268523,-0.41829488940095727,1,0.23093107121621845,0.42959303596393217,0.08064716143269088
Perca fluviatilis_54.33333_-2.91667_6103,1963.001,1963,001,560,NA,Individuals per trap,7.62392578125002,LPI,Perca fluviatilis,32,0.08736964028072625,6.327936783729195,-0.10178269430994291,1,8.514506949717489e-6,0.037577008176377547,3.140129155115785e-7
Perca fluviatilis_54.33333_-2.91667_6104,1963.001,1963,001,300,NA,Individuals per trap,7.62392578125002,LPI,Perca fluviatilis,32,0.08736964028072625,5.703782474656201,-0.9028677115420143,1,8.514506949717489e-6,0.037577008176377547,3.140129155115785e-7
Perca fluviatilis_54.33333_-2.91667_6105,1963.001,1963,001,290,NA,Individuals per trap,7.62392578125002,LPI,Perca fluviatilis,32,0.08736964028072625,5.66988092298052,-0.7102416139192451,1,8.514506949717489e-6,0.037577008176377547,3.140129155115785e-7
Salvelinus namaycush_47.15417_-90.5_886,1963.001,1963,001,35,NA,Abundance index (percentage of the 1929-1943 mean),0.1032349,LPI,Salvelinus namaycush,22.9,0.10231729998595032,3.5553480614894135,-0.08223809823697215,1,0.09900962057384423,1.3302982364052678,0.07283163567456828
Salvelinus namaycush_47.26472_-87.17472_885,1963.001,1963,001,17,NA,Abundance index (percentage of the 1929-1943 mean),0.1032349,LPI,Salvelinus namaycush,22.9,0.10231729998595032,2.833213344056216,0.3483066942682158,1,0.09900962057384423,1.3302982364052678,0.07283163567456828
Sander vitreus_48.44972_-92.45028_888,1963.001,1963,001,0.746,NA,Index of SSB,0.1,LPI,Sander vitreus,27,0.06788093937176144,-0.2930296787783762,0.291263096869487,1,0.021444324837469025,1.840669164453408,0.018040870594950558
Sander vitreus_48.7_-93.16667_889,1963.001,1963,001,0.3816,NA,Index of SSB,0.1,LPI,Sander vitreus,27,0.06788093937176144,-0.9633823394080056,1.1009735648537897,1,0.025519363867965703,1.3423953031113514,0.01885321555871373
Coregonus clupeaformis_45_-82_1792,1963.001,1963,001,5085,NA,Eggs,0.1046692,GPDD,Coregonus clupeaformis,20.6,0.12879502652419583,8.53405030848266,0.8355675206017139,1,0.32770681138898883,0.4295930424946526,0.11444377884328588
Esox lucius_54.3_-3_1822,1963.001,1963,001,800,NA,Kg (females),7.569269,GPDD,Esox lucius,20.6,0.2716955611510499,6.684611727667927,0,1,0.003223240456119385,0.05088432071093685,1.5990945721529792e-4
Esox lucius_54.3333333333333_-2.91666666666667_1823,1963.001,1963,001,1700,NA,Kg (females),7.623926,GPDD,Esox lucius,20.6,0.2731846332833822,7.438383530044307,-0.3022808718729344,1,0.0025447084578216674,0.037577010347212614,9.384822538606105e-5
Ischnura elegans_52.4333333333333_-0.183333333333333_3,1963.001,1963,001,26,NA,All Individuals,7.591272,GPDD,Ischnura elegans,44.60683761,0.024685072728814452,3.258096538021482,0.7731898882334818,1,8.865799703302588e-8,0.2356345935809827,1.8612033817929023e-8
Perca fluviatilis_54.3333333333333_-2.91666666666667_6059,1963.001,1963,001,560,NA,All Individuals,7.623926,GPDD,Perca fluviatilis,32,0.08736964219193699,6.327936783729195,-0.10178269430994291,1,8.514506599206297e-6,0.037577010347211726,3.140129203867376e-7
Perca fluviatilis_54.3333333333333_-2.91666666666667_6060,1963.001,1963,001,300,NA,All Individuals,7.623926,GPDD,Perca fluviatilis,32,0.08736964219193699,5.703782474656201,-0.9028677115420143,1,8.514506599206297e-6,0.037577010347211726,3.140129203867376e-7
Perca fluviatilis_54.3333333333333_-2.91666666666667_6061,1963.001,1963,001,290,NA,All Individuals,7.623926,GPDD,Perca fluviatilis,32,0.08736964219193699,5.66988092298052,-0.7102416139192451,1,8.514506599206297e-6,0.037577010347211726,3.140129203867376e-7
Sardinops sagax_-35_20_1936,1963.001,1963,001,375,NA,Tonnes,22.29598,GPDD,Sardinops sagax,24.3,0.8184016894614629,5.926926025970411,-0.3326554380945126,1,0.06168114519147057,0.18950586389510038,0.010648147766078038
Alosa pseudoharengus_44.03_-69.31_822,1964.001,1964,001,78.6,NA,SSB (Thousands of lbs),5.33974609375002,LPI,Alosa pseudoharengus,23.5,0.16267102150228693,4.364371699435161,0.18998442953952388,1,2.0473242392899638e-4,0.16460547953944982,3.107259181298286e-5
Coregonus artedi_48_-88_4580,1964.001,1964,001,3.881,NA,Modified Catch,0.100000000000023,LPI,Coregonus artedi,19.8,0.13945685621505122,1.3560928523867692,-0.4168235290398059,1,0.47373780201732646,0.015436925271324564,0.007256898836885295
Coregonus artedi_48.46667_-89.15_4581,1964.001,1964,001,1.45,NA,Modified Catch,0.100000000000023,LPI,Coregonus artedi,19.8,0.13945685621505122,0.371563556432483,-0.5487191967112095,1,0.47373780201732646,0.015436925271324564,0.007256898836885295
Coregonus clupeaformis_45_-82_829,1964.001,1964,001,4880,NA,Number of eggs,0.247888183593773,LPI,Coregonus clupeaformis,20.6,0.13065288809915088,8.492900498847193,-0.041149809635466994,1,0.4700552215620213,0.3607309074971713,0.1423484324372073
Esox lucius_54.12_-3_1111,1964.001,1964,001,1000,NA,Kilograms of females,7.12252197265627,LPI,Esox lucius,20.6,0.25982477883011124,6.907755278982137,-0.5306282510621703,1,0.0038204430088253183,0.16997911381119213,5.972023379575827e-4
Esox lucius_54.18_-3_1110,1964.001,1964,001,400,NA,Kilograms of females,7.12252197265627,LPI,Esox lucius,20.6,0.25982477883011124,5.991464547107982,-0.6931471805599454,1,0.0038204430088253183,0.16997911381119213,5.972023379575827e-4
